Time,Cores,Active
47300,small,0
47300,medium,0
47300,large,0
47400,small,2
47400,medium,0
47400,large,3
47500,small,2
47500,medium,0
47500,large,3
47600,small,2
47600,medium,0
47600,large,3
47700,small,2
47700,medium,0
47700,large,3
47800,small,2
47800,medium,0
47800,large,3
47900,small,2
47900,medium,0
47900,large,3
48000,small,2
48000,medium,0
48000,large,3
48100,small,2
48100,medium,0
48100,large,3
48200,small,1
48200,medium,0
48200,large,3
48300,small,2
48300,medium,2
48300,large,2
48400,small,0
48400,medium,0
48400,large,0
48500,small,0
48500,medium,0
48500,large,0
48600,small,2
48600,medium,2
48600,large,2
48700,small,2
48700,medium,0
48700,large,3
48800,small,2
48800,medium,0
48800,large,3
48900,small,2
48900,medium,0
48900,large,3
49000,small,2
49000,medium,0
49000,large,3
49100,small,2
49100,medium,0
49100,large,3
49200,small,2
49200,medium,0
49200,large,3
49300,small,2
49300,medium,0
49300,large,3
49400,small,2
49400,medium,0
49400,large,3
49500,small,0
49500,medium,0
49500,large,0
49600,small,0
49600,medium,0
49600,large,0
49700,small,2
49700,medium,0
49700,large,3
49800,small,2
49800,medium,0
49800,large,3
49900,small,2
49900,medium,0
49900,large,3
50000,small,2
50000,medium,0
50000,large,3
50100,small,2
50100,medium,0
50100,large,3
50200,small,2
50200,medium,0
50200,large,3
50300,small,0
50300,medium,0
50300,large,0
50400,small,0
50400,medium,0
50400,large,0
50500,small,2
50500,medium,0
50500,large,3
50600,small,2
50600,medium,0
50600,large,3
50700,small,2
50700,medium,0
50700,large,3
50800,small,2
50800,medium,0
50800,large,3
50900,small,0
50900,medium,0
50900,large,0
51000,small,0
51000,medium,0
51000,large,0
51100,small,2
51100,medium,0
51100,large,3
51200,small,2
51200,medium,0
51200,large,3
51300,small,2
51300,medium,0
51300,large,3
51400,small,2
51400,medium,0
51400,large,3
51500,small,2
51500,medium,0
51500,large,3
51600,small,2
51600,medium,0
51600,large,3
51700,small,2
51700,medium,0
51700,large,3
51800,small,2
51800,medium,0
51800,large,3
51900,small,2
51900,medium,0
51900,large,3
52000,small,0
52000,medium,0
52000,large,0
52100,small,0
52100,medium,0
52100,large,0
52200,small,2
52200,medium,0
52200,large,3
52300,small,2
52300,medium,0
52300,large,3
52400,small,2
52400,medium,0
52400,large,3
52500,small,2
52500,medium,0
52500,large,3
52600,small,2
52600,medium,0
